DependencyCount, ThrowsException, ModifiesParameters, UnknownMethod, ModifiesLocalState, ReadsLocalState, ModifiesGlobalState, ReadsGlobalState, Bug
2, 0, 0, 1, 1, 2, 0, 1, 0
2, 0, 0, 1, 1, 2, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
92, 1, 0, 7, 3, 38, 0, 1, 0
278, 5, 0, 37, 9, 102, 2, 10, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0, 0, 0, 2, 6, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
14, 0, 0, 0, 3, 6, 0, 2, 0
298, 5, 0, 37, 12, 109, 2, 12, 0
306, 5, 0, 39, 13, 112, 2, 12, 0
286, 5, 0, 39, 9, 105, 2, 10, 0
24, 0, 0, 3, 0, 10, 0, 3, 0
38, 0, 0, 7, 0, 18, 0, 3, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
48, 1, 0, 13, 0, 11, 2, 2, 0
2, 0, 0, 1, 0, 0, 0, 0, 0
10, 0, 0, 4, 0, 0, 0, 0, 0
2, 0, 0, 1, 0, 0, 0, 0, 0
22, 0, 0, 11, 0, 0, 0, 0, 0
24, 0, 0, 11, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 4, 0, 0, 0
0, 0, 0, 0, 0, 2, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0, 0, 3, 0, 0, 0, 0, 0
2, 0, 0, 1, 0, 2, 0, 0, 0
182, 0, 0, 41, 0, 14, 0, 4, 0
186, 0, 0, 41, 0, 14, 0, 4, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
308, 1, 0, 71, 0, 50, 2, 8, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 1, 0, 0, 0, 2, 0, 1, 0
6, 1, 0, 1, 0, 3, 0, 1, 0
8, 1, 0, 1, 0, 3, 0, 1, 0
2, 0, 0, 1, 0, 1, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 1, 4, 0, 0, 0
4, 0, 0, 0, 1, 4, 0, 0, 0
14, 0, 0, 3, 1, 6, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 1, 0
38, 2, 0, 5, 1, 12, 0, 4, 0
6, 0, 0, 0, 0, 1, 0, 3, 0
8, 0, 0, 1, 2, 12, 0, 0, 0
10, 0, 0, 1, 2, 13, 0, 0, 0
4, 0, 0, 0, 0, 0, 0, 0, 0
10, 0, 0, 1, 0, 2, 0, 0, 0
2, 0, 0, 0, 4, 5, 0, 0, 0
86, 1, 0, 12, 6, 20, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
94, 1, 0, 13, 6, 36, 0, 2, 0
98, 1, 0, 13, 8, 42, 0, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
50, 2, 0, 15, 1, 0, 0, 6, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
174, 3, 0, 29, 11, 62, 0, 13, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
42, 2, 0, 5, 2, 13, 0, 4, 0
2, 0, 0, 0, 0, 0, 0, 0, 0
44, 2, 0, 5, 2, 14, 0, 6, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
8, 3, 0, 2, 1, 14, 0, 0, 0
0, 0, 0, 0, 0, 3, 0, 0, 0
0, 0, 0, 0, 0, 2, 0, 0, 0
14, 3, 0, 2, 1, 19, 0, 0, 0
6, 0, 0, 0, 0, 1, 0, 3, 0
2, 0, 0, 0, 0, 0, 0, 1, 0
